loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,5,Graduate,No,853000,4610000,15,634,1720000,1726000,3120000,1147000,Rejected
2,0,Not Graduate,No,356000,1570000,10,542,805000,211000,290000,156000,Rejected
3,4,Graduate,No,1140000,5000000,10,558,2851000,2443000,2671000,1522000,Rejected
4,0,Graduate,No,1290000,5000000,20,684,904000,814000,157000,509000,Approved
5,2,Graduate,No,197000,1314000,15,807,349000,408000,140000,283000,Approved
6,3,Graduate,Yes,300000,1582000,15,683,535000,471000,614000,372000,Rejected
7,1,Graduate,Yes,761000,4822000,10,617,2262000,918000,198000,246000,Rejected
8,2,Graduate,No,570000,2556000,25,715,1026000,1323000,1264000,140000,Approved
9,2,Graduate,No,692000,4660000,15,630,1108000,1400000,567000,854000,Rejected
10,1,Graduate,No,402000,2804000,20,618,279000,131000,1179000,115000,Rejected
11,5,Not Graduate,No,1240000,3501000,10,569,3128000,2187000,4323000,1573000,Rejected
12,1,Graduate,No,1161000,3980000,10,770,2651000,2292000,3551000,2320000,Approved
13,0,Graduate,No,731000,2646000,5,434,1896000,989000,254000,212000,Rejected
14,4,Not Graduate,No,1456000,4363000,15,718,3495000,1005000,2964000,1418000,Approved
15,2,Graduate,No,949000,4133000,15,611,2943000,556000,506000,1758000,Rejected
16,1,Graduate,No,400000,1263000,15,615,1243000,974000,678000,751000,Approved
17,1,Graduate,No,890000,4960000,15,794,1143000,972000,3003000,96000,Approved
18,0,Graduate,No,375000,979000,5,589,331000,486000,98000,610000,Rejected
19,1,Not Graduate,No,1239000,4485000,15,592,4045000,1853000,1340000,638000,Rejected
20,1,Graduate,No,678000,4063000,10,639,1750000,171000,2253000,1021000,Rejected
21,2,Graduate,No,621000,2727000,10,685,2116000,126000,1045000,461000,Approved
22,2,Not Graduate,No,450000,2038000,5,612,851000,223000,458000,220000,Rejected
23,4,Graduate,No,1550000,5000000,20,516,5238000,253000,5894000,1500000,Rejected
24,4,Not Graduate,No,633000,5000000,25,576,438000,1422000,448000,249000,Rejected
25,1,Graduate,No,530000,2857000,20,759,1160000,196000,1683000,465000,Approved
26,5,Graduate,No,557000,1378000,10,656,1052000,315000,443000,457000,Approved
27,4,Not Graduate,No,989000,2589000,25,688,305000,1328000,3813000,1906000,Approved
28,4,Graduate,No,888000,5000000,25,628,815000,1990000,2811000,983000,Rejected
29,3,Graduate,No,915000,5000000,15,594,724000,112000,1078000,1289000,Rejected
30,1,Graduate,No,926000,5000000,10,793,458000,500000,3645000,362000,Approved
31,1,Not Graduate,Yes,2816000,5000000,20,634,9389000,5050000,1539000,5617000,Approved
32,4,Not Graduate,No,537000,1653000,25,612,1820000,697000,1854000,548000,Approved
33,2,Graduate,No,502000,2354000,20,743,1583000,746000,1420000,99000,Approved
34,4,Graduate,No,412000,2797000,20,589,1427000,17000,321000,510000,Rejected
35,3,Graduate,No,1045000,5000000,20,599,3091000,2265000,2331000,701000,Approved
36,1,Graduate,Yes,1458000,4992000,25,651,4787000,2110000,214000,909000,Approved
37,1,Graduate,No,650000,3624000,5,650,606000,1356000,1518000,434000,Rejected
38,5,Not Graduate,Yes,405000,1192000,10,672,454000,976000,960000,376000,Approved
39,0,Graduate,No,410000,3177000,20,828,1254000,750000,694000,250000,Approved
40,3,Graduate,No,1068000,3752000,10,679,1959000,83000,3541000,1675000,Rejected
41,5,Graduate,Yes,1135000,5000000,15,448,2945000,2019000,4233000,453000,Rejected
42,0,Graduate,No,996000,3373000,15,678,2090000,1403000,2173000,325000,Approved
43,1,Graduate,No,454000,2586000,15,653,580000,118000,1239000,115000,Approved
44,2,Graduate,No,814000,4848000,5,654,986000,550000,544000,692000,Approved
45,4,Graduate,No,755000,2998000,20,671,2034000,319000,3014000,204000,Approved
46,2,Graduate,No,807000,5000000,15,648,1616000,1866000,2781000,80000,Approved
47,0,Graduate,No,1233000,5000000,20,646,1788000,2451000,4687000,770000,Approved
48,0,Graduate,No,810000,5000000,15,702,1842000,1419000,2539000,1588000,Approved
49,1,Not Graduate,No,1088000,4335000,25,604,1788000,2076000,1479000,78000,Rejected
50,1,Graduate,No,731000,4727000,20,569,1331000,1099000,705000,128000,Rejected
51,1,Graduate,No,845000,4527000,25,900,2087000,1807000,1769000,1003000,Approved
52,4,Not Graduate,Yes,1055000,5000000,15,589,1863000,603000,445000,1077000,Rejected
53,0,Graduate,No,271000,1318000,5,659,905000,170000,610000,69000,Approved
54,3,Graduate,No,569000,3187000,20,523,1054000,842000,878000,1021000,Approved
55,4,Not Graduate,No,516000,1452000,20,660,1743000,1045000,1516000,704000,Approved
56,2,Graduate,No,462000,2057000,5,571,1392000,965000,1174000,469000,Rejected
57,2,Not Graduate,No,585000,1794000,20,612,1843000,1428000,621000,650000,Rejected
58,0,Graduate,Yes,1850000,5000000,20,739,5074000,3526000,5477000,2965000,Approved
59,2,Graduate,No,399000,1104000,10,690,892000,232000,524000,96000,Approved
60,1,Graduate,No,1314000,4303000,20,698,2634000,758000,1405000,2457000,Approved
61,1,Graduate,No,234000,1566000,15,499,483000,261000,405000,63000,Rejected
62,2,Graduate,No,563000,2983000,5,806,532000,915000,403000,532000,Rejected
63,0,Graduate,Yes,778000,1666000,25,549,767000,998000,1064000,415000,Approved
64,1,Graduate,No,1025000,5000000,20,780,420000,173000,1141000,1381000,Approved
65,3,Graduate,No,1111000,5000000,20,737,2984000,1338000,205000,1875000,Approved
66,2,Graduate,No,1172000,5000000,20,699,820000,2394000,1492000,1468000,Approved
67,0,Graduate,No,558000,3871000,25,577,1207000,335000,1072000,272000,Rejected
68,0,Graduate,No,518000,4120000,15,663,384000,822000,1728000,813000,Approved
69,1,Graduate,Yes,1223000,5000000,15,610,627000,825000,983000,2309000,Rejected
70,2,Not Graduate,No,618000,4805000,15,652,1241000,859000,851000,225000,Approved
71,2,Graduate,No,305000,2346000,20,629,944000,534000,65000,166000,Rejected
72,0,Graduate,No,335000,1300000,15,477,482000,174000,132000,363000,Rejected
73,2,Not Graduate,No,385000,2765000,20,745,1248000,712000,573000,575000,Approved
74,5,Not Graduate,No,967000,5000000,15,643,322000,1635000,1982000,288000,Rejected
